Commodities,Price As On,1 Day back
Rice,3861.71,3843.27
Wheat,2857.23,2856.21
Gram Dal,7969.31,7956.89
Tur/Arhar Dal,10669.81,10649.16
Urad Dal,10455.32,10435.92
Moong Dal,10138.74,10115.63
Masoor Dal,8181.96,8169.81
Sugar,4314.2,4316.04
Milk (₹/ltr),5568.77,5541.53
Groundnut,10023.52,10037.82
Mustard Oil,17883.4,17719.97
Soya Oil ,13802.18,13803.48
Sunflower Oil (Packed),15469.7,15482.93
Palm Oil (Packed),12430.54,12423.46
Jaggery,4989.3,4985.92
Potato,1948.9,1949.27
Onion,2154.03,2169.71
Tomato,3196.55,3228.93
Apple,8000,8000
Banana,2500,2500
Onion Small,4000,4000
Onion Big,3500,3500
Tomato,3000,3000
Brinjal,3500,3500
Beans,5000,5000
Beetroot,3000,3000
Bitter Gourd,4500,4500
Bottle Gourd,3000,3000
Cabbage,2500,2500
Capsicum,5000,5000
Carrot,4000,4000
Cauliflower,3000,3000
Chilly Green,5000,5000
Cluster Beans,4000,4000
Coriander,3000,3000
Cucumber,3000,3000
Drumstick,6000,6000
Garlic,8000,8000
Ginger,10000,10000
Green Peas,9000,9000
Ladies Finger,4000,4000
Lemon,6000,6000
Mango,12000,12000
Methi,2500,2500
Mushroom,1200,1200
Potato,2000,2000
Pumpkin,2500,2500
Radish,2500,2500
Spinach,2500,2500
Sweet Corn,8000,8000
Tamarind,16000,16000
